Product Name,Composition,Needle Size,Price,Price excl Tax,Availability
DMC Natura XL,100% Baumwolle,8 mm,"€ 7,92","€ 6,65 Exkl. Mw",Lieferbar
Drops Safran,100% Baumwolle,3 mm,"€ 1,10","€ 0,92 Exkl. Mw",Lieferbar
Drops Baby Merino Mix,100% Merinowolle,3 mm,"€ 2,40","€ 2,02 Exkl. Mw",Lieferbar
Stylecraft Special dk,100% Acryl,4 mm,"€ 2,70","€ 2,27 Exkl. Mw",Lieferbar
DMC Natura XL,100% Baumwolle,8 mm,"€ 7,92","€ 6,65 Exkl. Mw",Lieferbar
Drops Safran,100% Baumwolle,3 mm,"€ 1,10","€ 0,92 Exkl. Mw",Lieferbar
Drops Baby Merino Mix,100% Merinowolle,3 mm,"€ 2,40","€ 2,02 Exkl. Mw",Lieferbar
Stylecraft Special dk,100% Acryl,4 mm,"€ 2,70","€ 2,27 Exkl. Mw",Lieferbar
